iter	Passed	Remaining
437	1324	1699
438	1326	1695
439	1329	1692
440	1333	1689
441	1335	1686
442	1337	1682
443	1340	1678
444	1342	1674
445	1344	1670
446	1348	1668
447	1351	1665
448	1353	1661
449	1356	1657
450	1358	1653
451	1361	1650
452	1364	1647
453	1367	1644
454	1369	1640
455	1371	1636
456	1374	1633
457	1377	1629
458	1379	1626
459	1382	1622
460	1384	1618
461	1386	1615
462	1389	1611
463	1393	1609
464	1397	1607
465	1400	1604
466	1402	1601
467	1405	1597
468	1408	1594
469	1410	1590
470	1413	1587
471	1415	1583
472	1418	1580
473	1421	1577
474	1424	1574
475	1430	1575
476	1433	1571
477	1437	1569
478	1440	1566
479	1443	1563
480	1446	1561
481	1450	1558
482	1453	1555
483	1456	1552
484	1458	1548
485	1461	1545
486	1463	1541
487	1467	1539
488	1469	1536
489	1472	1532
490	1474	1528
491	1476	1524
492	1478	1520
493	1482	1518
494	1485	1515
495	1488	1512
496	1490	1508
497	1493	1505
498	1497	1503
499	1499	1499
500	1502	1496
501	1505	1493
502	1507	1489
503	1512	1488
504	1515	1485
505	1518	1482
506	1520	1478
507	1523	1475
508	1526	1472
509	1530	1470
510	1532	1466
511	1534	1462
512	1537	1460
513	1540	1456
514	1544	1454
515	1547	1451
516	1549	1447
517	1552	1444
518	1558	1444
519	1562	1441
520	1564	1438
521	1567	1435
522	1569	1431
523	1573	1429
524	1576	1426
525	1579	1423
526	1581	1419
527	1584	1416
528	1588	1414
529	1591	1411
530	1593	1407
531	1595	1403
532	1598	1400
533	1603	1399
534	1605	1395
535	1608	1392
536	1610	1388
537	1612	1384
538	1616	1382
539	1618	1379
540	1621	1375
541	1623	1372
542	1625	1368
543	1628	1364
544	1633	1364
545	1636	1360
546	1638	1356
547	1640	1353
548	1643	1349
549	1647	1347
550	1649	1344
551	1651	1340
552	1654	1337
553	1656	1333
554	1659	1330
555	1662	1327
556	1665	1324
557	1667	1321
558	1670	1317
559	1673	1314
560	1678	1313
561	1681	1310
562	1683	1307
563	1686	1303
564	1692	1303
565	1695	1300
566	1697	1296
567	1700	1292
568	1702	1289
569	1705	1286
570	1708	1283
571	1710	1280
572	1713	1276
573	1715	1273
574	1718	1269
575	1722	1267
576	1725	1265
577	1728	1261
578	1731	1258
579	1733	1255
580	1737	1253
581	1740	1250
582	1743	1247
583	1746	1243
584	1748	1240
585	1753	1238
586	1757	1236
587	1760	1233
588	1762	1229
589	1765	1226
590	1768	1224
591	1771	1220
592	1773	1217
593	1776	1213
594	1778	1210
595	1783	1208
596	1786	1206
597	1789	1202
598	1791	1199
599	1793	1195
600	1797	1193
601	1800	1190
602	1802	1186
603	1805	1183
604	1807	1179
605	1809	1176
606	1813	1173
607	1816	1171
608	1819	1168
609	1821	1164
610	1825	1162
611	1828	1159
612	1830	1155
613	1833	1152
614	1835	1148
615	1838	1145
616	1841	1142
617	1843	1139
618	1845	1136
619	1848	1132
620	1850	1129
621	1852	1125
622	1855	1122
623	1858	1119
624	1860	1116
625	1862	1112
626	1864	1109
627	1866	1105
628	1869	1102
629	1872	1099
630	1874	1095
